title,price,mark,score
"HUAWEI Nova 12i 8Go+128Go Smartphone, Haute Résolution 108 MP, Chargement Rapide 40 W Turbo, Batterie 5000 mAh, EMUI 14, Écran AOD 6,7 Pouces, Téléphone Portable Debloqué LTE, Vert",249.0,HUAWEI,3.2
"HONOR 200 Lite, Smartphone 5G, 8 Go + 256 Go, écran AMOLED Anti-Chute 6,7 Pouces, Triple Appareil Photo arrière 108 Mpx, Appareil Photo Avant 50 Mpx, Double SIM, Android 14, Cyan",184.9,HONOR,4.2
"Google Pixel 9 Pro – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,3 Pouces – Porcelaine, 256GB",0.0,Google,4.5
Smartphone Xiaomi Xiaomi 14T 256Go Gris concu avec Leica,519.0,Smartphone,4.1
"Samsung Galaxy Xcover7 Enterprise Edition, Robustes 6,6 Zoll Android Smartphone, 128 GB 6 GB",265.0,Samsung,4.2
"HUAWEI Nova 12i 8Go+128Go Smartphone, Haute Résolution 108 MP, Chargement Rapide 40 W Turbo, Batterie 5000 mAh, EMUI 14, Écran AOD 6,7 Pouces, Téléphone Portable Debloqué LTE, Vert",249.0,HUAWEI,3.2
Sony Xperia 1 VI Noir - 6.5 Pouces 19.5:9 FHD+ HDR OLED - Triple Objectif - Android 14 - Débloqué - 12GB RAM - 256GO - Double SIM Hybride - Extension Garantie 12 Mois Offerte [Exclusivité Amazon],0.0,Sony,4.1
Smartphone Xiaomi 14T Pro 512Go Noir conçu avec Leica,749.0,Smartphone,4.8
"Samsung A356B/DS Galaxy A35 5G, Dual, 256GB 8GB Ram, Awesome Navy",330.48,Samsung,4.5
"Samsung Galaxy A35, Smartphone Android 5G, 128 Go, Avec Enceinte JBL GO3 ECO [Exclusivité Amazon], Smartphone déverrouillé, Bleu nuit, Version FR",329.0,Samsung,4.1
"Doro 5860 - Téléphone Mobile 4G pour Senior, Son Clair et Puissant, Touches Numériques Parlantes, Caméra, Touche d'Assistance, Socle Chargeur Inclus - Blanc",91.9,Doro,4.1
"HONOR Magic4 Lite 4G Telephone Portable, 6 + 128 Go Smartphone Android 11 avec Appareil Photo 64 Mpx, écran LCD 6,81"" 120 Hz, Snapdragon 680, Charge Rapide 66W avec Batterie 4800 mAh Noir",255.21,HONOR,4.2
"Samsung Galaxy Z Flip5 Smartphone Android 5G avec Galaxy AI, 512 Go, Chargeur Secteur Rapide 25W Inclus [Exclusivité Amazon], Smartphone déverrouillé, Vert d'eau, Version FR",879.0,Samsung,4.4
"Samsung Galaxy A16 5G 128 Go, Smartphone Android déverrouillé, écran 6,7"", batterie 5000 mAh, Bleu nuit, Version FR",249.0,Samsung,4.5
"Xiaomi REDMI Note 13 Pro Plus 5G White, Ecran de 6.67'', Smartphone Débloqué, Batterie mAh 5000, Mémoire ROM 256GO,RAM 8GO, Android 13, MediaTek Dimensity 7200, Gravé 4nm, 8-Coeurs Jusqu’à 2,8GHz",280.85,Xiaomi,4.2
"Google Pixel 9 Pro XL – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,8 Pouces – Vert Sauge, 256GB",0.0,Google,4.3
"Google Pixel 8a – Smartphone Android débloqué avec Module Photo Pixel avancé, Une journée complète d'autonomie et Une sécurité Robuste – Bleu Azur, 128GB",399.0,Google,4.2
Energizer - Téléphone Portable à Clavier Physique Senior Débloqué - E4-2G - Bouton SOS - Batterie 1000 mAh - Double Sim (Mini SIM) - FM Radio - Torche - Noir,17.19,Energizer,3.4
Energizer - Mobile E13-2G - Téléphone Portable Double Sim - Noir - Mini SIM - Débloqué - Torche,27.55,Energizer,3.8
"Samsung Galaxy S24 +, Smartphone Android 5G, 512 Go, Chargeur secteur rapide 25W inclus [Exclusivité Amazon], Smartphone déverrouillé, Noir, Version FR",0.0,Samsung,4.1
"OnePlus Nord CE 4 Lite 5G - Smartphone débloqué avec Double Appareil Photo 50 MP, 8 Go de RAM + 256 Go de Stockage - 2 Super Silver",224.0,OnePlus,4.6
"Motorola G85 5G, 256Go RAM 8 Go, Smartphone débloqué, écran incurvé 6,7"", Double capteur 50 MP, Batterie 5000 mAh, Charge Rapide 30W, Gris Charbon, Version française",244.99,Motorola,5.0
"OnePlus 12 5G 16 Go de RAM 512 Go de Stockage, Smartphone sans Carte SIM avec Appareil Photo Hasselblad de 4ème génération pour Mobile - Garanti 2 Ans - Flowy Emerald",774.0,OnePlus,4.5
"Xiaomi Redmi Note 13 Pro 5G Smartphone 8+256 Go, Snapdragon 7s Gen 2, 6,67"" Super QPD, Ultra-Clear 200 MP Camera, Black (EU Version)",255.0,Xiaomi,4.7
"SPC Talk - Téléphone Portable, Facile à Utiliser, écran 1,8"", Grande Batterie 800 mAh, Radio FM, Double Carte SIM, Lampe de Poche et caméra arrière - Noir",19.99,SPC,4.0
"Nothing Phone (2) - 256 Go + 12 Go Ram, Glyph Interface, Nothing OS 2.0, Double caméra 50 MP, OIS, Ecran LTPO OLED 6,7"", IP54, Batterie 4700 mAh, Smartphone débloqué Android 5G, Blanc",579.95,Nothing,4.6
Doro 2880 4G Téléphone Portable à Clapet pour Seniors - Simple d'Utilisation - Téléphone Portable sans Internet - Double Ecran - Touche d'Assistance - Touches Vocales - Bluetooth (Noir/Blanc),79.99,Doro,4.0
"Samsung Galaxy A35 5G, Dual, 128GB 6GB Ram, Awesome Navy",262.75,Samsung,4.4
Xiaomi 14T 12+512GB DS 5G Titan Black OEM,719.21,Xiaomi,5.0
"McMgc Téléphones Portables Bon marché, écran IPS de 5,0 Pouces, Android 9.0 OS, 16Go ROM (Extensible jusqu'à 128 Go), Double Carte SIM et Double Appareil Photo, (i15pro-Blue)",59.99,McMgc,2.9
